Top 18 Offensive Types:
1. Ground               1.1248+0.0000j
2. Rock                 1.0953+0.0000j
3. Ice                  1.0656+0.0000j
4. Fire                 1.0634+0.0000j
5. Water                1.0588+0.0000j
6. Fighting             1.0471+0.0000j
7. Fairy                1.0402+0.0000j
8. Flying               1.0368+0.0000j
9. Steel                1.0239+0.0000j
10. Ghost                0.9946+0.0000j
11. Dark                 0.9844+0.0000j
12. Psychic              0.9606+0.0000j
13. Grass                0.9545+0.0000j
14. Electric             0.9385+0.0000j
15. Dragon               0.9286+0.0000j
16. Bug                  0.9269+0.0000j
17. Poison               0.9038+0.0000j
18. Normal               0.8522+0.0000j
Top 18 Defensive Types:
1. Steel                1.1985+0.0000j
2. Ghost                1.0956+0.0000j
3. Fairy                1.0821+0.0000j
4. Poison               1.0613+0.0000j
5. Electric             1.0562+0.0000j
6. Fire                 1.0314+0.0000j
7. Water                1.0312+0.0000j
8. Normal               1.0310+0.0000j
9. Flying               1.0071+0.0000j
10. Dark                 0.9861+0.0000j
11. Dragon               0.9805+0.0000j
12. Ground               0.9707+0.0000j
13. Fighting             0.9640+0.0000j
14. Bug                  0.9584+0.0000j
15. Psychic              0.9360+0.0000j
16. Rock                 0.8763+0.0000j
17. Grass                0.8750+0.0000j
18. Ice                  0.8585+0.0000j

Top 171 Offensive Type Combinations:
1. Ice/Ground           1.3278+0.0000j
2. Ground/Rock          1.3028+0.0000j
3. Fire/Ground          1.2885+0.0000j
4. Ground/Flying        1.2794+0.0000j
5. Ground/Fairy         1.2616+0.0000j
6. Fighting/Rock        1.2334+0.0000j
7. Ice/Fighting         1.2272+0.0000j
8. Ground/Steel         1.2225+0.0000j
9. Fighting/Ground      1.2056+0.0000j
10. Ice/Rock             1.1913+0.0000j
11. Fighting/Flying      1.1882+0.0000j
12. Poison/Ground        1.1771+0.0000j
13. Ground/Ghost         1.1756+0.0000j
14. Ground/Bug           1.1753+0.0000j
15. Electric/Ground      1.1698+0.0000j
16. Fire/Fighting        1.1689+0.0000j
17. Fighting/Ghost       1.1614+0.0000j
18. Rock/Fairy           1.1589+0.0000j
19. Ground/Dark          1.1585+0.0000j
20. Water/Rock           1.1561+0.0000j
